,iso_code,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,created_at
194534,OWID_WRL,World,2022-06-26,543602146.0,276302.0,662107.429,6329049.0,493.0,1484.571,69029.144,35.086,84.077,803.692,0.063,0.189,,12033933786.0,5228254693.0,4788388361.0,2101856492.0,,,152.81,66.39,60.81,26.69,,,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-26
194533,OWID_WRL,World,2022-06-25,543325844.0,407992.0,661420.286,6328556.0,709.0,1494.714,68994.058,51.809,83.99,803.63,0.09,0.19,,12030970888.0,5227971673.0,4787504423.0,2100516650.0,,,152.77,66.39,60.79,26.67,,,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-25
194532,OWID_WRL,World,2022-06-24,542917852.0,791002.0,635200.571,6327847.0,1810.0,1477.143,68942.249,100.445,80.661,803.54,0.23,0.188,,12027142410.0,5227578436.0,4786184032.0,2098983140.0,,,152.73,66.38,60.78,26.65,,,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-24
194531,OWID_WRL,World,2022-06-23,542126850.0,754287.0,608568.286,6326037.0,1936.0,1409.429,68841.804,95.783,77.279,803.31,0.246,0.179,1.19,12019176918.0,5226639327.0,4784057093.0,2095084831.0,,,152.63,66.37,60.75,26.6,,,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-23
194530,OWID_WRL,World,2022-06-22,541372563.0,804088.0,573090.571,6324101.0,2053.0,1336.0,68746.021,102.107,72.774,803.064,0.261,0.17,1.18,12014060341.0,5225134034.0,4781820438.0,2089593705.0,,,152.56,66.35,60.72,26.53,,,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-22
194529,OWID_WRL,World,2022-06-21,540568475.0,856522.0,560482.571,6322048.0,1722.0,1320.714,68643.915,108.765,71.173,802.803,0.219,0.168,1.18,12008524173.0,5224692139.0,4780133388.0,2086979932.0,,,152.49,66.35,60.7,26.5,,,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-21
194528,OWID_WRL,World,2022-06-20,539711953.0,744559.0,558964.429,6320326.0,1669.0,1346.714,68535.149,94.548,70.98,802.585,0.212,0.171,1.17,11997892908.0,5223471743.0,4777894386.0,2084623359.0,4386812.0,5213533.0,152.35,66.33,60.67,26.47,662.0,740723.0,0.009,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-20
194527,OWID_WRL,World,2022-06-19,538967394.0,271492.0,527665.429,6318657.0,564.0,1253.714,68440.602,34.475,67.005,802.373,0.072,0.159,1.13,11993490503.0,5222854757.0,4776862720.0,2082538913.0,3493334.0,5384306.0,152.3,66.32,60.66,26.45,684.0,779455.0,0.01,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-19
194526,OWID_WRL,World,2022-06-18,538695902.0,224454.0,516515.429,6318093.0,586.0,1237.429,68406.127,28.502,65.59,802.301,0.074,0.157,1.09,11990280862.0,5222487850.0,4775831324.0,2081139940.0,5135965.0,5609648.0,152.26,66.32,60.65,26.43,712.0,804238.0,0.01,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-18
194525,OWID_WRL,World,2022-06-17,538471448.0,604576.0,524210.571,6317507.0,1336.0,1277.571,68377.624,76.772,66.567,802.227,0.17,0.162,1.08,11984868068.0,5221745387.0,4774288046.0,2078595764.0,5987055.0,5750396.0,152.19,66.31,60.63,26.39,730.0,797568.0,0.01,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-17
194524,OWID_WRL,World,2022-06-16,537866872.0,505943.0,515570.0,6316171.0,1422.0,1329.0,68300.852,64.247,65.469,802.057,0.181,0.169,1.08,11978040550.0,5220889538.0,4772315749.0,2075772898.0,6379422.0,5887477.0,152.1,66.3,60.6,26.36,748.0,808946.0,0.01,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-16
194523,OWID_WRL,World,2022-06-15,537360929.0,715832.0,525388.0,6314381.0,1946.0,1351.857,68236.605,90.9,66.716,801.83,0.247,0.172,1.09,11971694508.0,5218720099.0,4768888946.0,2067079765.0,6241086.0,6445058.0,152.02,66.27,60.56,26.25,818.0,885199.0,0.011,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-15
194522,OWID_WRL,World,2022-06-14,536645097.0,845895.0,523043.143,6312435.0,1904.0,1445.571,68145.706,107.416,66.418,801.583,0.242,0.184,1.1,11964049784.0,5217796597.0,4766884459.0,2063084783.0,6409483.0,6762178.0,151.93,66.26,60.53,26.2,859.0,915740.0,0.012,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-14
194521,OWID_WRL,World,2022-06-13,535799202.0,525466.0,495006.714,6310531.0,1018.0,1489.0,68038.29,66.726,62.858,801.341,0.129,0.189,1.07,11956631019.0,5215904469.0,4764778457.0,2058983260.0,5680137.0,7460528.0,151.83,66.23,60.51,26.15,947.0,925155.0,0.012,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-13
194520,OWID_WRL,World,2022-06-12,535273736.0,193442.0,482088.857,6309513.0,450.0,1486.571,67971.564,24.564,61.218,801.211,0.057,0.189,1.04,11951368715.0,5215138473.0,4763326734.0,2056552523.0,5198605.0,8110640.0,151.76,66.22,60.49,26.12,1030.0,964195.0,0.012,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-12
194519,OWID_WRL,World,2022-06-11,535080294.0,278320.0,491944.286,6309069.0,867.0,1524.0,67947.0,35.342,62.469,801.155,0.11,0.194,1.03,11943768924.0,5214409301.0,4761680484.0,2052174499.0,6294007.0,8547113.0,151.67,66.22,60.47,26.06,1085.0,934993.0,0.012,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-11
194518,OWID_WRL,World,2022-06-10,534802070.0,544092.0,488043.429,6308202.0,1696.0,1489.429,67911.67,69.091,61.974,801.045,0.215,0.189,1.03,11938922358.0,5213952201.0,4760306800.0,2049890935.0,7485967.0,8961572.0,151.61,66.21,60.45,26.03,1138.0,921692.0,0.012,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-10
194517,OWID_WRL,World,2022-06-09,534257978.0,574669.0,487759.143,6306510.0,1582.0,1464.143,67842.578,72.974,61.938,800.83,0.201,0.186,1.04,11931627374.0,5213072486.0,4758665466.0,2046304629.0,8711425.0,8707439.0,151.51,66.2,60.43,25.98,1106.0,893766.0,0.011,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-09
194516,OWID_WRL,World,2022-06-08,533683309.0,699418.0,480525.286,6304928.0,2602.0,1463.714,67769.604,88.815,61.019,800.629,0.33,0.186,1.03,11925461157.0,5212503671.0,4756215320.0,2044023804.0,8922484.0,8382536.0,151.44,66.19,60.4,25.96,1064.0,949802.0,0.012,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-08
194515,OWID_WRL,World,2022-06-07,532983891.0,649640.0,478930.571,6302326.0,2208.0,1394.286,67680.789,82.494,60.817,800.299,0.28,0.177,1.02,11912501547.0,5210169235.0,4753267983.0,2037229080.0,11743447.0,8080838.0,151.27,66.16,60.36,25.87,1026.0,953516.0,0.012,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,2022-06-07
